pool,config,auth,mint_a,mint_b,fee_owed_a,fee_owed_b,tick_spacing,fee_rate
8ZLzuy8tDmEU3xE5Naw8y7YMwUmFoA7dSiPdUKquXzjh,G6BUx6tFcX7M2yhwMxFrq1L9KT4gh4VpZRj89nUwp7P3,wzma,v62Jv9pwMTREWV9f6TetZfMafV254vo99p7HSF25BPr,8uJtmKm39mTsMAnKiTWXrvCYtWzVqZTyTBmwtTpMpump,204033959336,0,30281,65198
CdvDD8WMKjXzXs3LCshha2QnnhPsd3WZ9nyU6sv7C7RM,2LDbdSNMyuRQ9gCgUKjWm4Znq1US1X2R9aoSenuwkTqP,wzma,CaLyryATQhnVZaau425zAJ9fNf4uNWVa1GKD6JN94AX9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,7037625275,57,48155,65526
9ak81f8vF5FEyNnAtiUWEGFfJg8grd7AUUXAZsqdXzNy,HDE78Mg7ukJht34qd9yifnDGkdZoAFu5K5dSGQiHDDRq,wzma,v62Jv9pwMTREWV9f6TetZfMafV254vo99p7HSF25BPr,6fRx8LEdBBPFrYGu3HDXK6GJMKEW91xw1rp6GZxfbBUb,334356181,2448877457,48739,65296
EEEEBfiPZbNDNnzwAgJJSHqsWz7u4iuDfTWfpzfZqgzT,HDE78Mg7ukJht34qd9yifnDGkdZoAFu5K5dSGQiHDDRq,wzma,v62Jv9pwMTREWV9f6TetZfMafV254vo99p7HSF25BPr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1184431438,14,48739,65296
3BFV8sBLVF4xUUdTwDC7JogLnadVbtAsGZK86VvPhsJ4,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,ErbakSHZWeLnq1hsqFvNz8FvxSzggrfyNGB6TEGSSgNE,0,542731038,54916,65215
6gzFMmtsikthCf7GMzxySFKUrKytq2RHJXTir83HtBEG,8HvXpq9FGSy5oNF1cZr4K66BpSpzNrukYRhBM877nrHY,wzma,v62Jv9pwMTREWV9f6TetZfMafV254vo99p7HSF25BPr,CaLyryATQhnVZaau425zAJ9fNf4uNWVa1GKD6JN94AX9,61394322,274822174,61647,65419
4UoVAu19XLcz51GK16PmRX6qdnpDn6iSxc289nV23cL5,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,B8eCpSkYqkW95QAXDjwJDQNUuAaLzZ1Ez55cfQ3X5FNh,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,253857231,0,54916,64959
9QhM7pJdHmjQ9LWgD7F9biFzqY3775YTQwCkZ2RxTx4N,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,FybftdRgR1PcNirPu7GB6iejAuZbMLyMBFTTU6MMmoon,0,201191164,54916,65215
HnCdv3T6acHvwKRCnW8PwzQSNdMQuD8VAcCUz2Cm6JTV,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,57jzy6cY4JxwfvoNyUiPR5auuc6J5NjzC5BrjC1ymoon,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,134431193,0,54916,64959
BHSWtSAmWWDVyngeJqoUDp9bVptWYjYXwAVvnkviGKwC,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,iHjJCRDSLqah8eb37CPaFbj4r9Rzb52MvhyvAPBpump,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,93996064,0,54916,65471
FQRC4L1ugWtC468HhsxJ9C9RmTzmJdw8bPqS8p613JNV,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,GJVNVCfovYFWVQC62J2stXyCrawR5fAsC5HVpmZiaMkY,0,87530369,54916,65471
5NeesqTGyySawoiR9Yv4asrXpDh42yHYEyVKt7VMWy1D,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,4Zs7SmwrCrRAP1gBaNAE4n6LzarU2JzEsJSuj4Mwmoon,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,85213428,0,54916,65215
