config,created,slot,protocol_fee_rate,reward_super_auth,pools,fee_tiers,token_badges,config_ext
DHzSzuwgJvGdAibU97SZ4L2dGMEeFKtdPzsEaGGuNwQq,2025-01-06,312239812,0,GdPSADtU1Kzj1ueijpHaJWS6HqhoYVXMFR5FzhNBUmrh,453,6,2,1
Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,2025-01-02,311444036,300,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,94,1,0,0
HDE78Mg7ukJht34qd9yifnDGkdZoAFu5K5dSGQiHDDRq,2024-11-19,302365260,2500,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,48,1,48,1
12yTE48QR6bGK4EMcyY8XsARbX1TRTEbwHYSuuxR1Hp8,2024-03-29,257187306,2500,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,38,2,0,1
2JFwRaPCGHEaMKBqHWzAx4bZS8ZRQ9GohUzG3fKYB52Z,2024-10-29,298291934,300,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,27,5,0,1
8HvXpq9FGSy5oNF1cZr4K66BpSpzNrukYRhBM877nrHY,2024-11-16,301686532,100,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,25,8,8,1
19zArjWikZJL3eLS6ouvFrY4bwrX9KmrmQWCLHtSLU8,2023-02-21,178819452,2500,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,21,1,0,0
FBb9yqw2Xc9YEDoVBZ3EGho5Vsui5vzYcUddaR2LTx1n,2024-10-29,298316772,0,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,18,3,0,1
D8WBXfePEmWoK27pRoCKvzfsjZrWZJVmGN9tZguvnKBB,2024-10-29,298291916,300,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,17,4,0,0
FubQ2DuzSr9y4tjLtjN8QpvjZzJShFDi8hW1GrC2bxjp,2023-02-12,177314640,138,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,7,4,0,0
RTHQ6Q3ri1p9Ymis9wWw3uUfLJe1Pb8LFg5Ktqkcgav,2024-02-21,249601825,300,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,6,1,0,0
kgXo7PkoqG6Gvak5VQxf8SoP8t1ktqQnbD7xUPx7SSh,2023-02-06,176308332,138,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,4,4,0,0
wPNfdbuneqHVx5GkFtdDWeWAvrABT9aTvXNtv1EUoMy,2023-02-06,176318664,138,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,4,4,0,0
2kmtXeXpdyyXubbF9gMYQ1QUqLXTweMRMs2nBgJrrmBJ,2023-02-06,176327110,138,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,4,4,0,0
3Vy6uVsaeofL5WJReZYtWY5X7MNEXXvuXUt4v2UYiFky,2023-02-06,176292131,138,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,4,4,0,0
5WAxpKWE4VQpRwvruM2WnEcHu3F58JZEhAnZYYKCXVKm,2023-02-06,176296304,138,WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,4,4,0,0
